record_id,event_type,timestamp_start,timestamp_end,collector_receive_time,ingest_source,schema_version,subscriber_id,account_number,customer_type,enterprise_tenant_id,pii_masked,aaa_session_id,aaa_start_time,aaa_end_time,access_type,bng_id,nas_ip,nas_port,vlan_id,pppoe_session_id,dhcp_lease_id,src_ip,src_port,src_ipv6,src_mac,device_os,device_type,user_agent,dst_ip,dst_port,dst_ipv6,domain,server_asn,server_country,server_city,nat_session_id,nat_public_ip,nat_public_port,nat_pool_id,cgnat_box_id,l3_proto,l4_proto,app_proto,tls_cipher,qos_class,policy_id,policy_action,bytes_up,bytes_down,pkts_up,pkts_down,duration_sec,tcp_syn,tcp_fin,tcp_rst,tcp_retrans,latency_ms,jitter_ms,loss_pct,dns_query,dns_response_ip,dns_rcode,imsi,imei,msisdn,apn,cell_id,pop_id,access_country,access_city,access_longitude,access_latitude,threat_indicator,threat_feed,threat_severity,threat_confidence,service_plan,quota_consumed_mb,billing_rated,warrant_case_id,access_purpose,confidence,deduped,checksum,processing_node,comm_chain
c6bc9d45-d1d8-4a24-a041-dbef214d646f,flow_log,2025-08-21T19:24:14,2025-08-21T19:57:14,2025-08-21T19:57:18,dpi-mumbai-01,1.0,sub_38a01573,ACCT-888865,Enterprise,ENT-GLOBEX,True,r-64d6fd,2025-08-21T19:24:14,2025-08-21T19:57:14,3G,bng-mum-5,197.20.225.81,12561,,pppoe-d31665,dhcp-c10ab8,216.12.99.211,30134,,80:3c:0a:5c:eb:91,Windows,Mobile,Mozilla/5.0 (Linux; Android 12),212.192.76.124,42519,,cdn.stark.in,36439,AU,Sydney,nat-6749de,251.195.217.39,35925,pool-15,cgn-1,IPv4,UDP,HTTP2,TLS1.3-AES256-GCM,EF,pol-397,block,47122065,21358904,477271,498395,2564,43,5,7,2,57.78,1.69,2.89,,134.23.173.195,NXDOMAIN,,,,,,pop-BLR,IN,Pune,85.81321928,15.5431637,,,0,0.27,Enterprise-1G,137894,False,,gaming,0.82,True,6a875fed2be140d18cb931173f673f5c,proc-delhi-01,216.12.99.211 -> 62.48.57.248 -> 212.192.76.124
a0d78c5b-d70a-40be-9a09-55d26d3c5f08,flow_log,2025-08-21T09:12:29,2025-08-21T09:58:29,2025-08-21T09:58:34,dpi-blr-03,1.0,sub_53a458f5,ACCT-739930,Individual,ENT-GLOBEX,True,r-a08bed,2025-08-21T09:12:29,2025-08-21T09:58:29,5G,bng-del-2,206.88.10.234,28364,,pppoe-52d359,dhcp-844282,205.117.12.74,57649,,f7:0a:7c:f4:9c:88,Android,Mobile,curl/8.0.1,10.70.13.193,57794,,cdn.soylent.co,19753,US,Sydney,nat-6b4945,116.209.1.119,32784,pool-17,cgn-7,IPv6,TCP,MQTT,TLS1.3-AES256-GCM,BE,pol-838,allow,9277158,865564,194161,230593,75,45,26,10,2,25.94,6.54,1.51,,206.76.182.11,SERVFAIL,,,,,,pop-DEL,IN,Bangalore,86.11531326,18.17978687,botnet,,1,0.18,Enterprise-1G,152880,True,,streaming,0.93,True,6be6d17d62a443368847218575be4b54,proc-mumbai-02,205.117.12.74 -> 246.66.14.235 -> 10.70.13.193
460ed2df-b73a-4123-b2dd-a8ec61f2bc2e,connection,2025-08-21T10:05:09,2025-08-21T11:05:09,2025-08-21T11:05:26,dpi-blr-03,1.0,sub_29be01dc,ACCT-441730,Individual,ENT-GLOBEX,True,r-9b980c,2025-08-21T10:05:09,2025-08-21T11:05:09,3G,bng-del-3,88.80.192.37,20859,,pppoe-d1ff87,dhcp-fa26e0,16.6.1.125,34629,,bb:f8:d8:46:51:b5,Android,Laptop,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5),143.219.123.101,29378,,cdn.soylent.co,21060,US,London,nat-0e64b6,223.38.210.225,14883,pool-17,cgn-6,IPv4,TCP,MQTT,TLS1.3-AES256-GCM,EF,pol-267,rate_limit,6841883,24468897,249304,19980,2191,49,10,9,6,92.41,19.49,0.3,,143.11.207.142,NOERROR,,,,,,pop-DEL,IN,Delhi,72.22737677,27.68199907,botnet,,1,0.02,Govt-500M,75954,True,,gaming,0.57,False,6c0408d180fe438aad3ce2b40747c201,proc-delhi-01,16.6.1.125 -> 93.254.73.107 -> 143.219.123.101
a888aeef-da98-4618-884c-8830fefcb4be,connection,2025-08-20T21:18:35,2025-08-20T21:37:35,2025-08-20T21:38:02,dpi-delhi-02,1.0,sub_57bb6a1a,ACCT-308570,Enterprise,ENT-GLOBEX,True,r-518000,2025-08-20T21:18:35,2025-08-20T21:37:35,3G,bng-del-3,76.106.119.58,22271,,pppoe-919778,dhcp-2f58ec,235.15.101.227,47749,,9c:f0:2c:34:bf:08,Linux,Laptop,curl/8.0.1,245.208.171.253,44871,,test.net,33261,US,Mumbai,nat-550c48,75.108.23.49,54673,pool-3,cgn-6,IPv6,QUIC,HTTP2,TLS1.3-AES256-GCM,EF,pol-834,rate_limit,7978844,46737325,110942,341608,1835,37,1,6,18,41.48,15.41,0.09,,190.62.71.105,NXDOMAIN,,,,,,pop-DEL,IN,Mumbai,86.97284835,20.35095402,,,3,0.0,Enterprise-1G,195151,True,,gaming,0.67,True,0b210d1a168a4bc6b25cca4969c9a200,proc-delhi-01,235.15.101.227 -> 45.19.150.139 -> 245.208.171.253
08e18ef9-c154-4efb-8a60-c8df9d8a3da4,flow_log,2025-08-22T13:49:20,2025-08-22T13:52:20,2025-08-22T13:52:33,dpi-blr-03,1.0,sub_7082e2a9,ACCT-960258,Government,ENT-GLOBEX,True,r-8391d6,2025-08-22T13:49:20,2025-08-22T13:52:20,3G,bng-mum-4,156.5.69.144,45959,,pppoe-2d1446,dhcp-e0ba2b,180.211.129.169,13470,,ae:df:be:64:09:a7,iOS,Laptop,curl/8.0.1,212.186.170.20,63640,,test.net,10954,AU,London,nat-646f51,129.144.15.252,43937,pool-18,cgn-3,IPv4,QUIC,MQTT,TLS1.3-AES256-GCM,EF,pol-129,allow,40585038,19282490,243629,155265,2201,50,3,3,12,63.91,8.43,0.98,,86.215.126.175,SERVFAIL,,,,,,pop-MUM,IN,Pune,82.90279506,19.73566866,,,2,0.5,Enterprise-1G,22118,True,,streaming,0.68,True,693097d8879d4dec883733ca50b1c1bd,proc-blr-03,180.211.129.169 -> 220.57.25.12 -> 212.186.170.20
0a5ec1ed-a809-439a-a400-10f10a7ad31a,flow_log,2025-08-21T16:11:25,2025-08-21T16:57:25,2025-08-21T16:57:43,dpi-mumbai-01,1.0,sub_edd49beb,ACCT-732399,Government,ENT-GLOBEX,True,r-acade8,2025-08-21T16:11:25,2025-08-21T16:57:25,5G,bng-del-5,145.150.21.75,28141,,pppoe-b7ddce,dhcp-76a7f1,230.109.166.166,58757,,0b:d0:f6:16:33:87,Android,Laptop,Mozilla/5.0 (Linux; Android 12),51.7.212.35,40828,,test.net,15431,US,Mumbai,nat-7124ab,175.150.212.199,11377,pool-14,cgn-4,IPv4,UDP,MQTT,TLS1.3-AES256-GCM,EF,pol-330,allow,37692318,32762546,486939,338980,3451,50,22,4,20,60.7,12.28,0.63,,83.222.14.45,NXDOMAIN,,,,,,pop-DEL,IN,Bangalore,84.29935229,24.87207459,,,2,0.21,Retail-100M,199403,False,,gaming,0.76,False,882eeb37db59454db7eee942764cffdd,proc-delhi-01,230.109.166.166 -> 143.235.150.27 -> 51.7.212.35
47a70d94-3cf1-4576-a6fb-311efe1c48e7,policy_match,2025-08-20T10:13:39,2025-08-20T10:45:39,2025-08-20T10:45:46,dpi-mumbai-01,1.0,sub_cb81584a,ACCT-486697,Government,ENT-GLOBEX,True,r-4f5c1b,2025-08-20T10:13:39,2025-08-20T10:45:39,3G,bng-blr-2,3.240.158.210,33248,,pppoe-446705,dhcp-5c1640,222.181.60.126,11484,,be:4c:e9:85:b1:af,Linux,Mobile,curl/8.0.1,203.181.49.97,43846,,cdn.soylent.co,38052,AU,Mumbai,nat-4aca72,115.91.174.130,11585,pool-6,cgn-10,IPv6,UDP,KERBEROS,TLS1.3-AES256-GCM,BE,pol-168,allow,29773075,6189704,418845,430024,3462,49,18,10,17,40.11,13.04,0.73,,62.75.15.33,NOERROR,,,,,,pop-BLR,IN,Bangalore,81.01604451,21.85683357,,,2,0.45,Retail-100M,125076,True,,gaming,1.0,True,f05baa6e649c436da77e09c66a7ab3af,proc-delhi-01,222.181.60.126 -> 176.246.21.15 -> 203.181.49.97
4557e115-65da-45d2-bc7d-bc3e01efb8be,connection,2025-08-21T02:16:20,2025-08-21T02:17:20,2025-08-21T02:17:46,dpi-mumbai-01,1.0,sub_42184214,ACCT-776187,Individual,ENT-GLOBEX,True,r-83e358,2025-08-21T02:16:20,2025-08-21T02:17:20,4G,bng-del-5,211.190.81.150,12066,,pppoe-13bce1,dhcp-b71475,81.173.234.137,29397,,fd:fa:6e:2f:a7:0d,Android,Mobile,Mozilla/5.0 (Linux; Android 12),240.11.202.160,32076,,example.org,37284,AU,Delhi,nat-8ca394,80.16.184.89,47719,pool-8,cgn-9,IPv4,QUIC,KERBEROS,TLS1.3-AES256-GCM,BE,pol-468,block,42063786,44739841,67153,135807,300,34,25,4,2,82.51,12.55,2.19,,12.217.187.153,SERVFAIL,,,,,,pop-MUM,IN,Delhi,76.72176686,21.63214431,botnet,,2,0.71,Retail-100M,9623,False,,gaming,0.84,True,0ca899122278492f8cec9d97951da55b,proc-mumbai-02,81.173.234.137 -> 188.140.196.96 -> 240.11.202.160
b9851166-5d02-4104-a47a-227d48a370e8,flow_log,2025-08-20T08:39:29,2025-08-20T09:29:29,2025-08-20T09:29:45,dpi-mumbai-01,1.0,sub_2e820450,ACCT-293330,Government,ENT-GLOBEX,True,r-7fd0a6,2025-08-20T08:39:29,2025-08-20T09:29:29,4G,bng-blr-2,148.204.30.48,50793,,pppoe-d68d46,dhcp-3c2681,224.209.34.129,48427,,3a:6d:2a:04:05:70,Windows,Laptop,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_5),111.25.239.135,51895,,example.org,14685,US,London,nat-7d304e,50.247.135.99,16164,pool-12,cgn-5,IPv6,QUIC,HTTP2,TLS1.3-CHACHA20,EF,pol-489,allow,37592233,30988815,221806,287262,181,41,21,9,8,95.32,16.46,1.89,,59.118.226.164,NXDOMAIN,,,,,,pop-BLR,IN,Bangalore,81.96882522,27.06200868,,,2,0.16,Retail-100M,123480,True,,gaming,0.85,True,d91cc01ce14b490ab9c4b20492136f4f,proc-mumbai-02,224.209.34.129 -> 56.166.138.213 -> 111.25.239.135
157d5fe8-b9a5-4eef-a4ca-6323a9015482,policy_match,2025-08-21T03:07:19,2025-08-21T03:16:19,2025-08-21T03:16:43,dpi-delhi-02,1.0,sub_611af8de,ACCT-110491,Enterprise,ENT-GLOBEX,True,r-738054,2025-08-21T03:07:19,2025-08-21T03:16:19,3G,bng-mum-5,170.139.243.182,41150,,pppoe-ecd4f1,dhcp-425864,219.231.32.52,12465,,03:50:38:c8:c3:68,iOS,Router,curl/8.0.1,177.86.238.193,18620,,cdn.stark.in,44247,US,London,nat-f3def9,234.218.185.167,56652,pool-9,cgn-10,IPv4,UDP,MQTT,TLS1.3-CHACHA20,EF,pol-152,rate_limit,45266396,16657819,82802,358462,156,2,10,8,18,78.59,15.21,4.35,,48.87.248.171,SERVFAIL,,,,,,pop-BLR,IN,Pune,84.47305828,21.91599226,botnet,,3,0.79,Govt-500M,14784,False,,internet,0.92,True,ec5d47af6ad74df3ba398eda2efb5434,proc-delhi-01,219.231.32.52 -> 17.9.157.1 -> 177.86.238.193
